iter	Passed	Remaining
0	2	279
1	4	220
2	6	198
3	7	186
4	9	179
5	11	172
6	12	168
7	14	165
8	16	164
9	17	160
10	19	157
11	21	154
12	22	151
13	24	150
14	26	148
15	27	146
16	29	146
17	31	144
18	33	142
19	35	140
20	37	142
21	39	141
22	41	139
23	43	136
24	45	135
25	46	133
26	48	130
27	50	128
28	51	127
29	53	125
30	55	122
31	56	120
32	58	118
33	60	117
34	62	115
35	63	113
36	65	111
37	66	109
38	68	107
39	70	105
40	71	103
41	73	101
42	75	99
43	76	97
44	78	95
45	79	93
46	81	91
47	83	90
48	84	88
49	86	86
50	88	84
51	89	82
52	91	81
53	93	79
54	94	77
55	96	75
56	98	74
57	99	72
58	101	70
59	103	68
60	104	67
61	106	65
62	108	63
63	109	61
64	111	60
65	113	58
66	114	56
67	116	54
68	118	53
69	119	51
70	122	49
71	124	48
72	125	46
73	127	44
74	129	43
75	130	41
76	132	39
77	134	37
78	135	36
79	137	34
80	138	32
81	140	30
82	142	29
83	143	27
84	145	25
85	147	23
86	148	22
87	150	20
88	152	18
89	153	17
90	155	15
91	156	13
92	158	11
93	159	10
94	161	8
95	163	6
96	164	5
97	166	3
98	167	1
99	169	0
