iter	Passed	Remaining
0	136	136283
1	138	68912
2	143	47588
3	144	36022
4	146	29092
5	147	24428
6	148	21099
7	150	18607
8	151	16661
9	152	15103
10	154	13891
11	156	12894
12	159	12087
13	160	11317
14	161	10631
15	163	10027
16	164	9498
17	165	9030
18	166	8609
19	170	8377
20	172	8062
21	174	7748
22	175	7458
23	176	7187
24	178	6946
25	179	6719
26	180	6511
27	182	6327
28	185	6217
29	187	6059
30	189	5914
31	190	5776
32	192	5645
33	194	5532
34	196	5419
35	199	5355
36	201	5238
37	202	5129
38	203	5021
39	205	4921
40	206	4825
41	207	4736
42	209	4652
43	212	4626
44	214	4551
45	215	4475
46	216	4399
47	218	4331
48	219	4264
49	221	4210
50	223	4150
51	226	4121
52	228	4077
53	229	4026
54	231	3972
55	232	3917
56	233	3864
57	235	3817
58	236	3769
59	237	3723
60	241	3721
61	243	3677
62	244	3634
63	245	3591
64	246	3549
65	248	3517
66	249	3478
67	251	3443
68	254	3432
69	256	3404
70	257	3369
71	258	3335
72	260	3302
73	261	3269
74	262	3237
75	263	3206
76	264	3175
77	266	3153
78	269	3146
79	271	3124
80	273	3107
81	275	3087
82	276	3058
83	278	3031
84	279	3004
85	281	2994
86	283	2978
87	285	2953
88	286	2930
89	287	2906
90	288	2884
91	290	2862
92	291	2840
93	292	2818
94	293	2797
95	297	2799
96	298	2780
97	300	2761
98	301	2741
99	302	2722
100	303	2704
101	305	2691
102	307	2681
103	316	2724
104	317	2707
105	319	2692
106	320	2675
107	321	2657
108	323	2641
109	328	2659
110	330	2645
111	331	2629
112	333	2615
113	334	2598
114	335	2582
115	336	2566
116	337	2549
117	341	2554
118	343	2541
119	344	2527
120	345	2512
121	347	2500
122	348	2487
123	350	2472
124	351	2458
125	352	2447
126	355	2440
127	356	2431
128	358	2422
129	360	2411
130	362	2402
131	363	2391
132	364	2378
133	366	2365
134	369	2364
135	370	2353
136	371	2342
137	373	2331
138	374	2320
139	376	2313
140	378	2304
141	379	2292
142	383	2300
143	385	2291
144	386	2281
145	388	2271
146	390	2263
147	391	2254
148	393	2245
149	394	2236
150	398	2242
151	400	2234
152	402	2226
153	404	2220
154	406	2214
155	407	2206
156	409	2198
157	411	2193
158	413	2185
159	415	2178
160	416	2167
161	417	2160
162	418	2151
163	420	2143
164	425	2152
165	427	2145
166	428	2139
167	430	2132
168	432	2124
169	433	2116
170	434	2108
171	439	2117
172	441	2112
173	443	2105
174	445	2099
175	447	2093
176	448	2086
177	450	2080
178	455	2090
179	457	2085
180	460	2081
181	462	2077
182	463	2070
183	465	2063
184	467	2058
185	468	2050
186	469	2043
187	471	2035
188	472	2028
189	474	2022
190	476	2017
191	480	2021
192	481	2015
193	483	2007
194	484	2000
195	485	1992
196	486	1984
197	488	1978
198	489	1971
199	491	1965
200	494	1966
201	496	1960
202	497	1952
203	498	1946
204	499	1938
205	501	1932
206	502	1926
207	504	1919
208	505	1912
209	509	1916
210	511	1910
211	512	1903
212	513	1897
213	514	1890
214	516	1885
215	517	1878
216	518	1872
217	520	1865
218	522	1863
219	524	1859
220	525	1853
221	527	1847
222	528	1842
223	530	1836
224	531	1829
225	532	1823
226	533	1817
227	537	1820
228	539	1817
229	541	1814
230	543	1809
231	545	1805
232	546	1800
233	548	1794
234	549	1788
235	551	1785
236	552	1779
237	554	1773
238	555	1767
239	556	1762
240	557	1756
241	559	1750
242	560	1745
243	561	1739
244	564	1739
245	566	1735
246	567	1729
247	568	1724
248	569	1718
249	572	1718
250	575	1716
251	576	1711
252	578	1709
253	580	1706
254	582	1701
255	584	1698
256	586	1694
257	587	1690
258	592	1695
259	594	1691
260	596	1688
261	598	1684
262	600	1681
263	601	1677
264	605	1678
265	607	1675
266	609	1672
267	610	1667
268	612	1664
269	614	1660
270	618	1664
271	620	1660
272	622	1658
273	624	1655
274	627	1653
275	629	1650
276	633	1653
277	635	1651
278	638	1649
279	640	1648
280	643	1645
281	645	1643
282	648	1643
283	650	1639
284	652	1636
285	653	1632
286	655	1628
287	657	1625
288	659	1623
289	663	1623
290	664	1619
291	666	1616
292	668	1613
293	670	1609
294	671	1605
295	674	1603
296	678	1606
297	682	1608
298	685	1606
299	686	1602
300	691	1606
301	693	1603
302	695	1598
303	697	1596
304	699	1593
305	701	1590
306	705	1593
307	707	1590
308	709	1586
309	711	1583
310	712	1578
311	715	1577
312	716	1573
313	719	1572
314	721	1569
315	724	1567
316	727	1567
317	729	1564
318	731	1561
319	733	1558
320	735	1555
321	737	1551
322	742	1555
323	744	1552
324	746	1549
325	748	1546
326	749	1543
327	751	1539
328	754	1538
329	756	1535
330	758	1533
331	760	1530
332	762	1526
333	763	1523
334	765	1520
335	767	1516
336	769	1513
337	771	1510
338	774	1510
339	778	1510
340	780	1507
341	781	1504
342	783	1500
343	785	1497
344	787	1494
345	788	1491
346	791	1488
347	793	1486
348	796	1485
349	797	1481
350	799	1478
351	801	1475
352	803	1472
353	809	1476
354	811	1474
355	813	1471
356	815	1469
357	818	1467
358	829	1480
359	831	1477
360	832	1474
361	835	1472
362	838	1471
363	841	1469
364	843	1467
365	845	1464
366	847	1461
367	852	1463
368	854	1460
369	856	1458
370	858	1455
371	861	1454
372	867	1457
373	869	1454
374	871	1452
375	873	1449
376	875	1447
377	877	1444
378	881	1443
379	882	1440
380	884	1437
381	887	1435
382	890	1435
383	894	1434
384	896	1432
385	898	1429
386	901	1428
387	904	1426
388	909	1428
389	911	1425
390	914	1424
391	941	1459
392	943	1457
393	950	1461
394	955	1463
395	958	1461
396	963	1463
397	965	1461
398	968	1458
399	970	1455
400	972	1452
401	977	1454
402	995	1474
403	997	1471
404	1004	1475
405	1008	1475
406	1010	1472
407	1013	1470
408	1017	1470
409	1019	1467
410	1022	1464
